task_num	wait_time	execute_time	cpu_std
200	31.014	919.688	0.043
200	36.132	500.555	0.026
200	25.670	287.469	0.035
200	26.392	193.747	0.032
200	22.968	187.010	0.030
200	26.233	139.650	0.027
200	23.278	107.407	0.021
200	22.590	150.517	0.030
200	23.455	158.392	0.035
200	23.950	221.677	0.030
200	24.424	233.318	0.024
200	26.741	250.669	0.024
200	25.457	196.025	0.044
200	25.171	176.814	0.037
200	23.430	123.759	0.033
200	24.331	114.506	0.041
200	22.414	118.573	0.023
200	22.722	150.366	0.023
200	23.947	146.374	0.024
200	23.416	160.278	0.032
